Type,location,id,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_ES,BR_ES_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,7917.887,50000,0,1000000,system/availability_wind_onshore.csv,BR_ES_Wind_Onshore_Class1,elec_BR_ES,0,100,work in progress
VRE,BR_GO,BR_GO_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,126227.189,50000,0,1000000,system/availability_wind_onshore.csv,BR_GO_Wind_Onshore_Class4,elec_BR_GO,0,100,work in progress
VRE,BR_GO,BR_GO_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,370141.812,50000,0,1000000,system/availability_wind_onshore.csv,BR_GO_Wind_Onshore_Class1,elec_BR_GO,0,100,work in progress
VRE,BR_GO,BR_GO_Wind_Onshore_Class2,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,26563.485,50000,0,1000000,system/availability_wind_onshore.csv,BR_GO_Wind_Onshore_Class2,elec_BR_GO,0,100,work in progress
VRE,BR_GO,BR_GO_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,115886.119,50000,0,1000000,system/availability_wind_onshore.csv,BR_GO_Wind_Onshore_Class3,elec_BR_GO,0,100,work in progress
VRE,BR_MA,BR_MA_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,147732.835,50000,0,1000000,system/availability_wind_onshore.csv,BR_MA_Wind_Onshore_Class2,elec_BR_MA,0,100,work in progress
VRE,BR_MA,BR_MA_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,112982.831,50000,0,1000000,system/availability_wind_onshore.csv,BR_MA_Wind_Onshore_Class1,elec_BR_MA,426,100,work in progress
VRE,BR_MA,BR_MA_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,172707.531,50000,0,1000000,system/availability_wind_onshore.csv,BR_MA_Wind_Onshore_Class3,elec_BR_MA,0,100,work in progress
VRE,BR_MG,BR_MG_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,258817.792,50000,0,1000000,system/availability_wind_onshore.csv,BR_MG_Wind_Onshore_Class2,elec_BR_MG,0,100,work in progress
VRE,BR_MG,BR_MG_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,191684.635,50000,0,1000000,system/availability_wind_onshore.csv,BR_MG_Wind_Onshore_Class1,elec_BR_MG,0,100,work in progress
VRE,BR_MG,BR_MG_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,102042.942,50000,0,1000000,system/availability_wind_onshore.csv,BR_MG_Wind_Onshore_Class3,elec_BR_MG,0,100,work in progress
VRE,BR_MS,BR_MS_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,204408.173,50000,0,1000000,system/availability_wind_onshore.csv,BR_MS_Wind_Onshore_Class4,elec_BR_MS,0,100,work in progress
